Name,Area,Population,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Health expenditures,HIV/AIDS - adult prevalence rate,HIV/AIDS - people living with HIV/AIDS,HIV/AIDS - deaths,Obesity - adult prevalence rate,Children under the age of 5 years underweight,Education expenditures,"Unemployment, youth ages 15-24",Exchange Rate,Currency,GDP (purchasing power parity),GDP - real growth rate,GDP - per capita (PPP),Gross national saving,Industrial production growth rate,Labor Force,Unemployment rate,Distribution of family income,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Stock of narrow money,Stock of broad money,Stock of domestic credit,Market value of publicly traded shares,Current account balance,Exports,Exports - partners,Exports - commodities,Imports,Imports - partners,Imports - commodities,Reserves of foreign exchange and gold,External debt,Stock of direct foreign investment - at home,Stock of direct foreign investment - abroad,Military expenditures,Airports,Railways,Roadways,Waterways,Merchant marine,Electricity - production,Electricity - consumption,Electricity - exports,Electricity - imports,Electricity - installed generating capacity,Electricity - from fossil fuels,Electricity - from nuclear fuels,Electricity - from hydroelectric plants,Electricity - from other renewable sources,Crude oil - production,Crude oil - exports,Crude oil - imports,Crude oil - proved reserves,Refined petroleum products - production,Refined petroleum products - consumption,Refined petroleum products - exports,Refined petroleum products - imports,Natural gas - production,Natural gas - consumption,Natural gas - exports,Natural gas - imports,Natural gas - proved reserves,Telephones - fixed lines,Telephones - mobile cellular,Internet users
American Samoa,224 sq km,"50,826",-1.35%,"19 births/1,000 population","5.9 deaths/1,000 population","-26.7 migrant(s)/1,000 population",-,"10.8 deaths/1,000 live births",73.9 years,2.57 children born/woman,-,-,-,-,-,-,-,-,-,-,$658 million,-2.50%,"$11,200 ",-,-,"17,850",29.80%,-,37.8% (of GDP),-2.1% (of GDP),12.2% of GDP,-0.50%,-,-,-,-,-,-,-,$428 million,"Australia 25%, Ghana 19%, Indonesia 15.6%, Burma 10.4%, Portugal 5.1%(2017)",canned tuna 93%,$615 million,"Fiji 10.7%, Singapore 10.4%, NZ 10.4%, South Korea 9.3%, Samoa 8.2%, Kenya 6.4%, Australia 5.2%(2017)","raw materials for canneries, food, petroleum products, machinery and parts",-,-,-,-,-,3,-,241 km,-,-,169 million kWh,157.2 million kWh,0 kWh,0 kWh,"43,000 kW",98% of total installed capacity,0% of total installed capacity,0% of total installed capacity,2% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"2,375 bbl/day",0 bbl/day,"2,346 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"10,000",-,"17,000"
Argentina,"2,780,400 sq km","44,694,198",0.89%,"16.5 births/1,000 population","7.5 deaths/1,000 population","-0.1 migrant(s)/1,000 population","52 deaths/100,000 live births","9.5 deaths/1,000 live births",77.5 years,2.25 children born/woman,4.8% of GDP,0.40%,"120,000","2,000",28.30%,-,5.9% of GDP,18.30%,16.92,Argentine pesos (ARS) per US dollar -,$922.1 billion,2.90%,"$20,900 ",17.6% of GDP,2.70%,18 million,8.40%,41.7,18.9% (of GDP),-6% (of GDP),57.6% of GDP,25.70%,-,26.58%,$62.61 billion,$62.61 billion,$219.4 billion,$56.13 billion,-$31.32 billion,$58.45 billion,"Brazil 16.1%, US 7.9%, China 7.5%, Chile 4.4%(2017)","soybeans and derivatives, petroleum and gas, vehicles, corn, wheat",$63.97 billion,"Brazil 26.9%, China 18.5%, US 11.3%, Germany 4.9%(2017)","machinery, motor vehicles, petroleum and natural gas, organic chemicals, plastics",$55.33 billion,$214.9 billion,$76.58 billion,$40.94 billion,0.95% of GDP,"1,138","36,917 km","231,374 km","11,000 km",161,131.9 billion kWh,121 billion kWh,55 million kWh,9.851 billion kWh,38.35 million kW,69% of total installed capacity,4% of total installed capacity,24% of total installed capacity,3% of total installed capacity,"479,400 bbl/day","36,630 bbl/day","16,740 bbl/day",2.162 billion bbl,"669,800 bbl/day","806,000 bbl/day","58,360 bbl/day","121,400 bbl/day",40.92 billion cu m,49.04 billion cu m,76.45 million cu m,9.826 billion cu m,336.6 billion cu m,"9,530,349","61,897,379","30,786,889"
Australia,"7,741,220 sq km","23,470,145",1.01%,"12 births/1,000 population","7.3 deaths/1,000 population","5.5 migrant(s)/1,000 population","6 deaths/100,000 live births","4.2 deaths/1,000 live births",82.4 years,1.77 children born/woman,9.4% of GDP,0.10%,"26,000",-,29%,-,5.2% of GDP,12.60%,1.311,Australian dollars (AUD) per US dollar -,$1.248 trillion,2.20%,"$50,400 ",21% of GDP,1.40%,12.91 million,5.60%,30.3,35.5% (of GDP),-0.5% (of GDP),40.8% of GDP,2%,3%,5.24%,$277.7 billion,$277.7 billion,$2.384 trillion,$1.187 trillion,-$36.01 billion,$231.6 billion,"China 33.5%, Japan 14.6%, South Korea 6.6%, India 5%, Hong Kong 4%(2017)","iron ore, coal, gold, natural gas, beef, aluminum ores and conc, wheat, meat (excluding beef), wool, alumina, alcohol",$221 billion,"China 22.9%, US 10.8%, Japan 7.5%, Thailand 5.1%, Germany 4.9%, South Korea 4.5%(2017)","motor vehicles, refined petroleum, telecommunication equipment and parts; crude petroleum, medicaments, goods vehicles, gold, computers",$66.58 billion,$1.714 trillion,$700.6 billion,$509.7 billion,2% of GDP,480,"33,343 km","873,573 km","2,000 km",549,243 billion kWh,229.4 billion kWh,0 kWh,0 kWh,65.56 million kW,72% of total installed capacity,0% of total installed capacity,11% of total installed capacity,17% of total installed capacity,"263,000 bbl/day","192,500 bbl/day","341,700 bbl/day",1.821 billion bbl,"462,500 bbl/day",1.175 million bbl/day,"64,120 bbl/day","619,600 bbl/day",105.2 billion cu m,45.25 billion cu m,67.96 billion cu m,5.776 billion cu m,1.989 trillion cu m,8.46 million,27.553 million,"20,288,409"
Ashmore and Cartier Islands,5 sq km,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Austria,"83,871 sq km","8,793,370",0.42%,"9.5 births/1,000 population","9.7 deaths/1,000 population","4.8 migrant(s)/1,000 population","4 deaths/100,000 live births","3.4 deaths/1,000 live births",81.7 years,1.48 children born/woman,11.2% of GDP,0.10%,"7,400",-,20.10%,-,5.4% of GDP,11.30%,0.885,euros (EUR) per US dollar -,$441 billion,3%,"$50,000 ",27% of GDP,6.50%,4.26 million,5.50%,30.5,48.3% (of GDP),-0.7% (of GDP),78.6% of GDP,2.20%,0%,1.57%,$271.4 billion,$271.4 billion,$555.4 billion,$96.08 billion,$7.859 billion,$156.7 billion,"Germany 29.4%, US 6.3%, Italy 6.2%, Switzerland 5.1%, France 4.8%, Slovakia 4.8%(2017)","machinery and equipment, motor vehicles and parts, manufactured goods, chemicals, iron and steel, foodstuffs",$158.1 billion,"Germany 41.8%, Italy 5.8%, Switzerland 5.5%, Czech Republic 4.4%, Netherlands 4.2%(2017)","machinery and equipment, motor vehicles, chemicals, metal goods, oil and oil products, natural gas; foodstuffs",$21.57 billion,$630.8 billion,$294.1 billion,$339.7 billion,0.58% of GDP,52,"5,800 km","138,696 km",358 km,-,60.78 billion kWh,64.6 billion kWh,19.21 billion kWh,26.37 billion kWh,24.79 million kW,25% of total installed capacity,0% of total installed capacity,43% of total installed capacity,31% of total installed capacity,"14,260 bbl/day",0 bbl/day,"146,600 bbl/day",41.2 million bbl,"186,500 bbl/day","268,000 bbl/day","49,960 bbl/day","135,500 bbl/day",1.274 billion cu m,9.486 billion cu m,5.437 billion cu m,14.02 billion cu m,6.513 billion cu m,"3,762,801","14,924,340","7,346,055"
Anguilla,91 sq km,"17,422",1.92%,"12.4 births/1,000 population","4.7 deaths/1,000 population","11.7 migrant(s)/1,000 population",-,"3.3 deaths/1,000 live births",81.6 years,1.74 children born/woman,-,-,-,-,-,-,2.8% of GDP,-,2.7,East Caribbean dollars (XCD) per US dollar -,$175.4 million,-8.50%,"$12,200 ",-,4%,"6,049",8%,-,46.7% (of GDP),0.9% (of GDP),20.1% of GDP,1.30%,6.50%,9.48%,$25.37 million,$25.37 million,$218.5 million,-,-$23.2 million,$7.9 million,-,"lobster, fish, livestock, salt, concrete blocks, rum",$186.2 million,-,"fuels, foodstuffs, manufactures, chemicals, trucks, textiles",$76.38 million,$41.04 million,-,-,-,2,-,175 km,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,000","26,000","13,665"
Akrotiri,123 sq km,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antarctica,14 million sq km,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,400"
Bahrain,760 sq km,"1,442,659",2.19%,"13.1 births/1,000 population","2.8 deaths/1,000 population","12.1 migrant(s)/1,000 population","15 deaths/100,000 live births","8.8 deaths/1,000 live births",79.1 years,1.73 children born/woman,5% of GDP,-,-,-,29.80%,-,2.7% of GDP,5.30%,0.376,Bahraini dinars (BHD) per US dollar -,$71.17 billion,3.80%,"$49,000 ",19.8% of GDP,0.60%,"831,600",3.60%,-,16.6% (of GDP),-10.1% (of GDP),88.5% of GDP,1.40%,1.75%,5.33%,$9.185 billion,$9.185 billion,$29.72 billion,$19.25 billion,-$1.6 billion,$15.38 billion,"UAE 19.6%, Saudi Arabia 11.7%, US 10.8%, Oman 8.1%, China 6.5%, Qatar 5.7%, Japan 4.2%(2017)","petroleum and petroleum products, aluminum, textiles",$16.08 billion,"China 8.8%, UAE 7.2%, US 7.1%, Australia 5.3%, Japan 4.8%(2017)","crude oil, machinery, chemicals",$2.349 billion,$52.15 billion,$22.08 billion,$10.66 billion,4.59% of GDP,4,-,"4,122 km",-,260,26.81 billion kWh,26.11 billion kWh,213 million kWh,276 million kWh,3.928 million kW,100% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0% of total installed capacity,"45,000 bbl/day",0 bbl/day,"226,200 bbl/day",124.6 million bbl,"274,500 bbl/day","61,000 bbl/day","245,300 bbl/day","14,530 bbl/day",15.89 billion cu m,15.89 billion cu m,0 cu m,0 cu m,92.03 billion cu m,"285,318","2,364,477","1,351,326"
Barbados,430 sq km,"293,131",0.26%,"11.6 births/1,000 population","8.6 deaths/1,000 population","-0.3 migrant(s)/1,000 population","27 deaths/100,000 live births","10 deaths/1,000 live births",75.7 years,1.68 children born/woman,7.5% of GDP,1.60%,"2,700",-,23.10%,3.50%,5.1% of GDP,29.60%,2,Barbadian dollars (BBD) per US dollar -,$5.218 billion,-0.20%,"$18,600 ",7.2% of GDP,2.40%,"144,000",10.10%,-,29.4% (of GDP),-4% (of GDP),157.3% of GDP,4.40%,7%,8.10%,$2.47 billion,$2.47 billion,$6.184 billion,$4.495 billion,-$189 million,$485.4 million,"US 38%, Trinidad and Tobago 10.2%, Guyana 5.5%, Jamaica 5%, China 4.8%, St. Lucia 4.6%(2017)","manufactures, sugar, molasses, rum, other foodstuffs and beverages, chemicals, electrical components",$1.52 billion,"US 38.5%, Trinidad and Tobago 14.6%, China 7.1%, UK 4.7%(2017)","consumer goods, machinery, foodstuffs, construction materials, chemicals, fuel, electrical components",$264.5 million,$4.49 billion,-,-,-,1,-,"1,700 km",-,112,1.01 billion kWh,990 million kWh,0 kWh,0 kWh,"269,000 kW",93% of total installed capacity,0% of total installed capacity,0% of total installed capacity,7% of total installed capacity,"1,000 bbl/day",674 bbl/day,0 bbl/day,2.534 million bbl,0 bbl/day,"11,000 bbl/day",0 bbl/day,"10,630 bbl/day",14.16 million cu m,19.82 million cu m,0 cu m,5.653 million cu m,141.6 million cu m,"139,645","337,791","231,883"
Botswana,"581,730 sq km","2,249,104",1.52%,"21.7 births/1,000 population","9.5 deaths/1,000 population","3 migrant(s)/1,000 population","129 deaths/100,000 live births","28.6 deaths/1,000 live births",63.8 years,2.53 children born/woman,5.4% of GDP,22.80%,"380,000","4,100",18.90%,-,9.6% of GDP,36%,10.19,pulas (BWP) per US dollar -,$39.01 billion,2.40%,"$17,000 ",40.3% of GDP,-4.20%,1.177 million,20%,60.5,30.5% (of GDP),-1% (of GDP),14% of GDP,3.30%,5.50%,6.88%,$1.645 billion,$1.645 billion,$3.002 billion,$4.588 billion,$2.146 billion,$5.934 billion,"Belgium 20.3%, India 12.6%, UAE 12.4%, South Africa 11.9%, Singapore 8.7%, Israel 7%, Hong Kong 4.1%, Namibia 4.1%(2017)","diamonds, copper, nickel, soda ash, beef, textiles",$5.005 billion,"South Africa 66.1%, Canada 8.3%, Israel 5.3%(2017)","foodstuffs, machinery, electrical goods, transport equipment, textiles, fuel and petroleum products, wood and paper products, metal and metal products",$7.491 billion,$2.187 billion,$5.319 billion,$1.973 billion,3.37% of GDP,74,888 km,"17,916 km",-,-,2.527 billion kWh,3.636 billion kWh,0 kWh,1.673 billion kWh,"735,000 kW",100% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"21,000 bbl/day",0 bbl/day,"21,090 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"141,207","3,240,589","869,610"
Bermuda,54 sq km,"71,176",0.43%,"11.3 births/1,000 population","8.7 deaths/1,000 population","1.8 migrant(s)/1,000 population",-,"2.5 deaths/1,000 live births",81.5 years,1.92 children born/woman,-,-,-,-,-,-,1.5% of GDP,29.30%,1,Bermudian dollars (BMD) per US dollar -,$6.127 billion,-0.10%,"$99,400 ",-,2%,"33,480",7%,-,16.3% (of GDP),-2.9% (of GDP),43% of GDP,1.90%,-,-,$3.374 billion,$22.1 billion,-,$1.85 billion,$818.6 million,$19 million,"Jamaica 49.1%, Luxembourg 36.1%, US 4.9%(2017)",reexports of pharmaceuticals,$1.094 billion,"US 72.1%, South Korea 9.7%, Canada 4.2%(2017)","clothing, fuels, machinery and transport equipment, construction materials, chemicals, food and live animals",-,$2.515 billion,$2.641 billion,$889 million,-,1,-,447 km,-,160,650 million kWh,604.5 million kWh,0 kWh,0 kWh,"171,000 kW",100% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"5,000 bbl/day",0 bbl/day,"3,939 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"21,883","64,997","69,126"
Belgium,"30,528 sq km","11,570,762",0.67%,"11.3 births/1,000 population","9.7 deaths/1,000 population","5.4 migrant(s)/1,000 population","7 deaths/100,000 live births","3.4 deaths/1,000 live births",81.2 years,1.78 children born/woman,10.6% of GDP,-,-,-,22.10%,-,6.6% of GDP,20.10%,0.885,euros (EUR) per US dollar -,$529.2 billion,1.70%,"$46,600 ",24.5% of GDP,0.20%,5.324 million,7.10%,25.9,51.3% (of GDP),-1% (of GDP),103.4% of GDP,2.20%,0%,2.08%,$240.5 billion,$240.5 billion,$711.3 billion,$414.6 billion,-$807 million,$300.8 billion,"Germany 16.6%, France 14.9%, Netherlands 12%, UK 8.4%, Italy 4.9%, US 4.8%(2017)","chemicals, machinery and equipment, finished diamonds, metals and metal products, foodstuffs",$300.4 billion,"Netherlands 17.3%, Germany 13.8%, France 9.5%, US 7.1%, UK 4.9%, Ireland 4.2%, China 4.1%(2017)","raw materials, machinery and equipment, chemicals, raw diamonds, pharmaceuticals, foodstuffs, transportation equipment, oil products",$26.16 billion,$1.281 trillion,$1.035 trillion,$1.159 trillion,0.93% of GDP,41,"3,592 km","154,012 km","2,043 km",185,79.83 billion kWh,82.16 billion kWh,8.465 billion kWh,14.65 billion kWh,21.56 million kW,35% of total installed capacity,28% of total installed capacity,1% of total installed capacity,36% of total installed capacity,0 bbl/day,0 bbl/day,"687,600 bbl/day",0 bbl,"731,700 bbl/day","648,600 bbl/day","680,800 bbl/day","601,400 bbl/day",0 cu m,17.61 billion cu m,736.2 million cu m,18.09 billion cu m,0 cu m,"4,251,564","11,961,089","9,870,734"
"Bahamas, The","13,880 sq km","332,634",0.79%,"15.1 births/1,000 population","7.3 deaths/1,000 population","0 migrant(s)/1,000 population","80 deaths/100,000 live births","11.1 deaths/1,000 live births",72.9 years,1.94 children born/woman,7.7% of GDP,1.90%,"5,300",-,31.60%,-,-,30.80%,1,Bahamian dollars (BSD) per US dollar -,$12.06 billion,1.40%,"$32,400 ",11.4% of GDP,5.80%,"196,900",10.10%,-,17.6% (of GDP),-2.6% (of GDP),54.6% of GDP,1.40%,4.50%,4.25%,$2.654 billion,$2.654 billion,$8.805 billion,$2.78 billion,-$1.909 billion,$550 million,"US 63.9%, Namibia 19.3%(2017)","Rock lobster, aragonite, crude salt, polystyrene products",$3.18 billion,US 83.2%(2017),"machinery and transport equipment, manufactures, chemicals, mineral fuels; food and live animals",$1.522 billion,$17.56 billion,-,-,-,61,-,"2,700 km",-,"1,440",1.778 billion kWh,1.654 billion kWh,0 kWh,0 kWh,"577,000 kW",100% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"20,040 bbl/day",0 bbl/day,"19,150 bbl/day",0 cu m,"48,020 cu m",0 cu m,"48,020 cu m",0 cu m,"113,852","353,540","261,853"
Bangladesh,"148,460 sq km","159,453,001",1.02%,"18.6 births/1,000 population","5.4 deaths/1,000 population","-3.1 migrant(s)/1,000 population","176 deaths/100,000 live births","30.5 deaths/1,000 live births",73.7 years,2.15 children born/woman,2.8% of GDP,-,"13,000","1,100",3.60%,32.60%,2.5% of GDP,11.40%,80.69,taka (BDT) per US dollar -,$690.3 billion,7.40%,"$4,200 ",30.2% of GDP,10.20%,66.64 million,4.40%,32.1,9.6% (of GDP),-3.2% (of GDP),33.1% of GDP,5.60%,5%,9.54%,$28.68 billion,$28.68 billion,$152.1 billion,$92.33 billion,-$5.322 billion,$35.3 billion,"Germany 12.9%, US 12.2%, UK 8.7%, Spain 5.3%, France 5.1%, Italy 4.1%(2017)","garments, knitwear, agricultural products, frozen food (fish and seafood), jute and jute goods, leather",$47.56 billion,"China 21.9%, India 15.3%, Singapore 5.7%(2017)","cotton, machinery and equipment, chemicals, iron and steel, foodstuffs",$33.42 billion,$50.26 billion,$14.62 billion,$369.6 million,1.44% of GDP,18,"2,460 km","21,269 km","8,370 km",306,60.51 billion kWh,53.65 billion kWh,0 kWh,0 kWh,11.9 million kW,97% of total installed capacity,0% of total installed capacity,2% of total installed capacity,2% of total installed capacity,"3,666 bbl/day",0 bbl/day,"21,860 bbl/day",28 million bbl,"26,280 bbl/day","106,000 bbl/day",901 bbl/day,"81,570 bbl/day",29.53 billion cu m,29.53 billion cu m,0 cu m,0 cu m,185.8 billion cu m,"710,189","145,113,669","28,499,324"
Belize,"22,966 sq km","385,854",1.80%,"22.9 births/1,000 population","4.2 deaths/1,000 population","0 migrant(s)/1,000 population","28 deaths/100,000 live births","12 deaths/1,000 live births",74.7 years,2.8 children born/woman,5.8% of GDP,1.90%,"4,500",-,24.10%,4.60%,7.4% of GDP,17.70%,2,Belizean dollars (BZD) per US dollar -,$3.218 billion,0.80%,"$8,300 ",11.3% of GDP,-0.60%,"120,500",9%,-,29.9% (of GDP),-1% (of GDP),99% of GDP,1.10%,9.58%,9.46%,$768.8 million,$768.8 million,$1.323 billion,-,-$143 million,$457.5 million,"UK 33.9%, US 22%, Jamaica 6.7%, Italy 6.4%, Barbados 5.9%, Ireland 5.5%, Netherlands 4.3%(2017)","sugar, bananas, citrus, clothing, fish products, molasses, wood, crude oil",$845.9 million,"US 35.6%, China 11.2%, Mexico 11.2%, Guatemala 6.9%(2017)","machinery and transport equipment, manufactured goods; fuels, chemicals, pharmaceuticals; food, beverages, tobacco",$312.1 million,$1.315 billion,-,-,1.17% of GDP,47,-,"2,870 km",825 km,756,280 million kWh,453 million kWh,0 kWh,243 million kWh,"198,000 kW",51% of total installed capacity,0% of total installed capacity,27% of total installed capacity,22% of total installed capacity,"2,000 bbl/day","1,220 bbl/day",0 bbl/day,6.7 million bbl,36 bbl/day,"4,000 bbl/day",0 bbl/day,"4,161 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"23,000","227,000","157,735"
Bosnia and Herzegovina,"51,197 sq km","3,849,891",-0.17%,"8.7 births/1,000 population","10.1 deaths/1,000 population","-0.4 migrant(s)/1,000 population","11 deaths/100,000 live births","5.4 deaths/1,000 live births",77.1 years,1.31 children born/woman,9.6% of GDP,-,-,-,17.90%,1.50%,-,62.30%,1.729,konvertibilna markas (BAM) per US dollar -,$44.83 billion,3%,"$12,800 ",11% of GDP,3%,1.38 million,20.50%,33.8,44% (of GDP),2.1% (of GDP),39.5% of GDP,1.20%,-,4.38%,$6.483 billion,$6.483 billion,$11.3 billion,-,-$873 million,$5.205 billion,"Germany 14.7%, Croatia 11.8%, Italy 11.1%, Serbia 10%, Slovenia 9%, Austria 8.3%(2017)","metals, clothing, wood products",$9.547 billion,"Germany 11.6%, Italy 11.3%, Serbia 11.1%, Croatia 10.1%, China 6.5%, Slovenia 5%, Russia 4.7%, Turkey 4.2%(2017)","machinery and equipment, chemicals, fuels, foodstuffs",$6.474 billion,$10.87 billion,$7.332 billion,$0 ,0.99% of GDP,24,965 km,"22,926 km",-,-,16.99 billion kWh,11.87 billion kWh,6.007 billion kWh,3.084 billion kWh,4.676 million kW,49% of total installed capacity,0% of total installed capacity,51% of total installed capacity,1% of total installed capacity,0 bbl/day,0 bbl/day,"18,480 bbl/day",0 bbl,0 bbl/day,"32,000 bbl/day","4,603 bbl/day","18,280 bbl/day",0 cu m,226.5 million cu m,0 cu m,226.5 million cu m,0 cu m,"759,344","3,440,085","2,677,502"
Bolivia,"1,098,581 sq km","11,306,341",1.48%,"21.6 births/1,000 population","6.3 deaths/1,000 population","-0.5 migrant(s)/1,000 population","206 deaths/100,000 live births","34.2 deaths/1,000 live births",69.8 years,2.58 children born/woman,6.3% of GDP,0.30%,"21,000",-,20.20%,3.40%,7.3% of GDP,6.90%,6.86,bolivianos (BOB) per US dollar -,$83.72 billion,4.20%,"$7,600 ",15.7% of GDP,2.20%,5.719 million,4%,47,39.9% (of GDP),-7.8% (of GDP),49% of GDP,2.80%,2.50%,8.11%,$9.616 billion,$9.616 billion,$25.61 billion,$12.8 billion,-$2.375 billion,$7.746 billion,"Brazil 17.9%, Argentina 16%, US 7.8%, Japan 7.3%, India 6.6%, South Korea 6.3%, Colombia 5.8%, China 5.1%, UAE 4.7%(2017)","natural gas, silver, zinc, lead, tin, gold, quinoa, soybeans and soy products",$8.601 billion,"China 21.7%, Brazil 16.8%, Argentina 12.6%, US 8.4%, Peru 6.5%(2017)","machinery, petroleum products, vehicles, iron and steel, plastics",$10.26 billion,$12.81 billion,$12.31 billion,$0 ,1.5% of GDP,855,"3,504 km","90,568 km","10,000 km",55,8.951 billion kWh,7.785 billion kWh,0 kWh,0 kWh,2.764 million kW,76% of total installed capacity,0% of total installed capacity,18% of total installed capacity,7% of total installed capacity,"59,330 bbl/day","1,274 bbl/day",0 bbl/day,211.5 million bbl,"65,960 bbl/day","83,000 bbl/day","9,686 bbl/day","20,620 bbl/day",18.69 billion cu m,3.171 billion cu m,15.46 billion cu m,0 cu m,295.9 billion cu m,"851,110","10,106,216","4,354,678"
Burma,"676,578 sq km","55,622,506",0.89%,"17.7 births/1,000 population","7.3 deaths/1,000 population","-1.5 migrant(s)/1,000 population","178 deaths/100,000 live births","34.4 deaths/1,000 live births",68.6 years,2.13 children born/woman,2.3% of GDP,0.70%,"220,000","6,700",5.80%,18.90%,0.8% of GDP,1.60%,"1,361.90",kyats (MMK) per US dollar -,$329.8 billion,6.80%,"$6,300 ",17.7% of GDP,8.90%,22.3 million,4%,-,13.5% (of GDP),-3.2% (of GDP),33.6% of GDP,4%,9.95%,13%,$18.78 billion,$18.78 billion,$28.24 billion,-,-$2.9 billion,$9.832 billion,"China 36.5%, Thailand 21.8%, Japan 6.6%, Singapore 6.4%, India 5.9%(2017)","natural gas; wood products; pulses and beans; fish; rice; clothing; minerals, including jade and gems",$15.78 billion,"China 31.4%, Singapore 15%, Thailand 11.1%, Saudi Arabia 7.5%, Malaysia 6.2%, Japan 6%, India 5.5%, Indonesia 4.5%(2017)","fabric; petroleum products; fertilizer; plastics; machinery; transport equipment; cement, construction materials; food products‘ edible oil",$4.924 billion,$6.594 billion,-,-,4.08% of GDP,64,"5,031 km","34,377 km","12,800 km",97,17.32 billion kWh,14.93 billion kWh,0 kWh,0 kWh,5.205 million kW,39% of total installed capacity,0% of total installed capacity,61% of total installed capacity,1% of total installed capacity,"12,000 bbl/day","1,824 bbl/day",0 bbl/day,139 million bbl,"13,330 bbl/day","123,000 bbl/day",0 bbl/day,"102,600 bbl/day",18.41 billion cu m,4.502 billion cu m,14.07 billion cu m,0 cu m,637.1 billion cu m,"556,112","47,951,228","14,264,308"
Benin,"112,622 sq km","11,340,504",2.68%,"34.5 births/1,000 population","7.7 deaths/1,000 population","0 migrant(s)/1,000 population","405 deaths/100,000 live births","51.5 deaths/1,000 live births",62.7 years,4.67 children born/woman,4.6% of GDP,1%,"70,000","2,500",9.60%,18%,4.4% of GDP,5.60%,605.3,Communaute Financiere Africaine francs (XOF) per US dollar -,$25.39 billion,5.60%,"$2,300 ",17.3% of GDP,3%,3.662 million,1%,36.5,17.1% (of GDP),-6.2% (of GDP),54.6% of GDP,0.10%,4.25%,5.30%,$2.644 billion,$2.644 billion,$1.963 billion,-,-$1.024 billion,$1.974 billion,"Bangladesh 18.1%, India 10.7%, Ukraine 9%, Niger 8.1%, China 7.7%, Nigeria 7.2%, Turkey 4%(2017)","cotton, cashews, shea butter, textiles, palm products, seafood",$2.787 billion,"Thailand 18.1%, India 15.9%, France 8.5%, China 7.5%, Togo 5.9%, Netherlands 4.3%, Belgium 4.3%(2017)","foodstuffs, capital goods, petroleum products",$698.9 million,$2.804 billion,-,-,1.14% of GDP,6,438 km,"16,000 km",150 km,6,335 million kWh,1.143 billion kWh,0 kWh,1.088 billion kWh,"321,000 kW",88% of total installed capacity,0% of total installed capacity,9% of total installed capacity,2% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,8 million bbl,0 bbl/day,"38,000 bbl/day","1,514 bbl/day","38,040 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,1.133 billion cu m,"56,787","8,773,044","1,288,336"
